2026-01-20 23:33:35.509 | DEBUG    | src.ingestion.parsers.parsers:parse:47 - Exporting to markdown...
2026-01-20 23:33:35.540 | DEBUG    | src.ingestion.parsers.parsers:parse:49 - Markdown exported: 45577 characters
2026-01-20 23:33:35.541 | DEBUG    | src.ingestion.parsers.parsers:parse:51 - Building page map...
2026-01-20 23:33:35.541 | ERROR    | src.ingestion.parsers.parsers:parse:65 - Failed to parse data/Word2Vec.pdf: DoclingParser._build_page_map() missing 1 required positional argument: 'text'
2026-01-20 23:35:21.680 | INFO     | src.ingestion.parsers.parsers:parse:19 - Starting to parse PDF: data/Word2Vec.pdf
2026-01-20 23:35:21.680 | DEBUG    | src.ingestion.parsers.parsers:parse:29 - Initializing DocumentConverter with pipeline options
2026-01-20 23:35:21.683 | DEBUG    | src.ingestion.parsers.parsers:parse:36 - Converting document...
2026-01-20 23:35:32.100 | INFO     | src.ingestion.parsers.parsers:parse:39 - Document converted successfully: 12 pages
2026-01-20 23:35:32.101 | DEBUG    | src.ingestion.parsers.parsers:parse:41 - Extracting metadata...
2026-01-20 23:35:32.101 | DEBUG    | src.ingestion.parsers.parsers:parse:43 - Metadata extracted: title='Word2Vec', pages=12
2026-01-20 23:35:32.101 | DEBUG    | src.ingestion.parsers.parsers:parse:47 - Exporting to markdown...
2026-01-20 23:35:32.123 | DEBUG    | src.ingestion.parsers.parsers:parse:49 - Markdown exported: 45577 characters
2026-01-20 23:35:32.123 | DEBUG    | src.ingestion.parsers.parsers:parse:51 - Building page map...
2026-01-20 23:35:32.124 | ERROR    | src.ingestion.parsers.parsers:parse:65 - Failed to parse data/Word2Vec.pdf: 'int' object has no attribute 'export_to_markdown'
2026-01-21 00:03:41.581 | INFO     | src.ingestion.parsers.parsers:parse:22 - Starting to parse PDF: data/Word2Vec.pdf
2026-01-21 00:03:41.582 | DEBUG    | src.ingestion.parsers.parsers:parse:32 - Initializing DocumentConverter with pipeline options
2026-01-21 00:03:41.587 | DEBUG    | src.ingestion.parsers.parsers:parse:39 - Converting document...
2026-01-21 00:03:53.661 | INFO     | src.ingestion.parsers.parsers:parse:42 - Document converted successfully: 12 pages
2026-01-21 00:03:53.662 | DEBUG    | src.ingestion.parsers.parsers:parse:44 - Extracting metadata...
2026-01-21 00:03:53.662 | DEBUG    | src.ingestion.parsers.parsers:parse:46 - Metadata extracted: title='Word2Vec', pages=12
2026-01-21 00:03:53.662 | DEBUG    | src.ingestion.parsers.parsers:parse:50 - Exporting to markdown...
2026-01-21 00:03:53.695 | DEBUG    | src.ingestion.parsers.parsers:parse:52 - Markdown exported: 45808 characters
2026-01-21 00:03:53.695 | DEBUG    | src.ingestion.parsers.parsers:parse:54 - Building page map...
2026-01-21 00:03:53.695 | DEBUG    | src.ingestion.parsers.parsers:parse:56 - Page map built: 12 pages
2026-01-21 00:03:53.695 | DEBUG    | src.ingestion.parsers.parsers:parse:60 - Extracting document structure...
2026-01-21 00:03:53.695 | DEBUG    | src.ingestion.parsers.parsers:_extract_structure:139 - Found chapter 1: 'Efficient Estimation of Word Representations in Vector Space' (page 1)
